TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionAmount_log,AccountBalance_log,Hour,DayOfWeek,TimeSinceLastTransaction_s,TransactionType_Credit,TransactionType_Debit,Channel_ATM,Channel_Branch,Channel_Online,CustomerOccupation_Doctor,CustomerOccupation_Engineer,CustomerOccupation_Retired,CustomerOccupation_Student
47.79,25,37,1,1649.92,3.8875253738277458,7.409087987264597,17,4,3370377.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
212.97,59,178,1,4180.4,5.3658358182788595,8.338401397672529,16,1,5183774.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
476.99,23,187,1,1154.48,6.1695898117705275,7.052271121040193,16,1,3370377.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
59.32,71,38,1,5750.89,4.099663723699701,8.657283775434989,16,1,4235786.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
12.62,33,61,1,6420.47,2.611539300721366,8.767402342436545,16,4,5702326.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
263.99,79,227,2,4175.02,5.5796920894251505,8.337113918823038,16,1,948706.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
395.16,56,17,1,5340.73,5.981818170056177,8.583304849524733,16,0,5961995.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
331.66,76,145,1,7216.3,5.807120947362389,8.884236200727102,17,0,4239534.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
516.47,25,94,1,1305.06,6.248951552444647,7.174770250588129,17,3,8723271.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
20.17,77,86,1,3869.37,3.0525850851467737,8.26110538868889,16,0,3370377.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
237.97,69,69,1,13486.15,5.476338021040286,9.509492659276024,17,0,607301.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
416.62,26,67,1,9700.9,6.034571928141916,9.180077021598878,17,0,4838413.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
384.11,58,12,1,7902.52,5.953529007764945,8.9750635088387,16,0,6044924.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
207.47,53,12,1,1688.9,5.339795145994346,7.432424634568778,18,0,12104496.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
13.16,43,98,1,1019.46,2.6504210882655737,6.92800878500938,17,0,3370377.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
642.54,44,28,1,3143.17,6.466984185166485,8.05330522333412,18,2,781990.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
99.25,63,93,1,2570.34,4.6076670661866785,7.85218244278532,16,0,4053878.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
547.87,64,131,1,6155.76,6.307861619298144,8.725305944128731,17,0,1210889.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
61.62,57,19,1,8365.37,4.1370847158982595,9.03197537765578,16,0,7857958.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
136.31,74,65,1,4384.95,4.92224114333366,8.386161529004053,16,0,1816609.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
365.43,25,176,1,1073.51,5.903807507177435,6.979620022693516,16,3,2074372.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
273.24,51,173,1,2202.21,5.614003635409415,7.697670666816668,16,1,1641912.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
40.66,59,156,1,1153.84,3.729541435832826,7.051717085221457,16,0,1725151.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
162.59,64,19,1,7104.83,5.09736329760608,8.868670852849826,16,2,3370377.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
377.92,33,204,1,2254.71,5.937325101007334,7.721220058255901,17,2,4264.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
